family,instance_label,size,rows,columns,nonzeros,method,device,tolerance,planned_slot,attempted_solve,terminal_outcome,solver_status,runtime_s,quality_metric,quality_value,strict_quality_pass,gpu_confirmed,resource_outcome
cs,CS-S,S,512,16384,84375,dual_simplex,cpu,,true,true,completed,OPTIMAL,0.5220999717712402,solver_max_violation,2.9842794901924208e-12,true,false,not_applicable
cs,CS-S,S,512,16384,84375,barrier,cpu,,true,true,completed,OPTIMAL,0.16441893577575684,solver_max_violation,3.7490005836425397e-07,true,false,not_applicable
cs,CS-S,S,512,16384,84375,pdhg_cpu_tol_1e4,cpu,1e-4,true,true,completed,OPTIMAL,0.4226529598236084,solver_max_violation,0.21733086766679577,false,false,not_applicable
cs,CS-S,S,512,16384,84375,pdhg_cpu_tol_1e6,cpu,1e-6,true,true,completed,OPTIMAL,5.627493143081665,solver_max_violation,0.0018657975318490116,false,false,not_applicable
cs,CS-S,S,512,16384,84375,pdhg_cpu_tol_1e8,cpu,1e-8,true,true,completed,OPTIMAL,6.969244003295898,solver_max_violation,1.2344182351853306e-05,false,false,not_applicable
cs,CS-S,S,512,16384,84375,pdhg_gpu_tol_1e4,gpu,1e-4,true,true,completed,OPTIMAL,0.16491222381591797,solver_max_violation,0.2176796977681974,false,true,not_applicable
cs,CS-S,S,512,16384,84375,pdhg_gpu_tol_1e6,gpu,1e-6,true,true,completed,OPTIMAL,1.9805569648742676,solver_max_violation,0.001879072094567391,false,true,not_applicable
cs,CS-S,S,512,16384,84375,pdhg_gpu_tol_1e8,gpu,1e-8,true,true,completed,OPTIMAL,2.322885036468506,solver_max_violation,1.3804381353565987e-05,false,true,not_applicable
cs,CS-M,M,512,65536,344735,dual_simplex,cpu,,true,true,completed,OPTIMAL,0.9185659885406494,solver_max_violation,2.9558577807620168e-12,true,false,not_applicable
cs,CS-M,M,512,65536,344735,barrier,cpu,,true,true,completed,OPTIMAL,0.3920559883117676,solver_max_violation,2.73959074275013e-07,true,false,not_applicable
cs,CS-M,M,512,65536,344735,pdhg_cpu_tol_1e4,cpu,1e-4,true,true,completed,OPTIMAL,9.852319955825806,solver_max_violation,0.1880265129009615,false,false,not_applicable
cs,CS-M,M,512,65536,344735,pdhg_cpu_tol_1e6,cpu,1e-6,true,true,completed,OPTIMAL,44.62479305267334,solver_max_violation,0.0013782776026687316,false,false,not_applicable
cs,CS-M,M,512,65536,344735,pdhg_cpu_tol_1e8,cpu,1e-8,true,true,completed,OPTIMAL,140.13191413879395,solver_max_violation,1.4984835701170596e-05,false,false,not_applicable
cs,CS-M,M,512,65536,344735,pdhg_gpu_tol_1e4,gpu,1e-4,true,true,completed,OPTIMAL,0.44703102111816406,solver_max_violation,0.18792250532125365,false,true,not_applicable
cs,CS-M,M,512,65536,344735,pdhg_gpu_tol_1e6,gpu,1e-6,true,true,completed,OPTIMAL,1.7301170825958252,solver_max_violation,0.0013959175342961316,false,true,not_applicable
cs,CS-M,M,512,65536,344735,pdhg_gpu_tol_1e8,gpu,1e-8,true,true,completed,OPTIMAL,4.990025997161865,solver_max_violation,1.5013482581593962e-05,false,true,not_applicable
cs,CS-L,L,512,262144,1386147,dual_simplex,cpu,,true,true,completed,OPTIMAL,1.9670600891113281,solver_max_violation,4.95076366735514e-07,true,false,not_applicable
cs,CS-L,L,512,262144,1386147,barrier,cpu,,true,true,completed,OPTIMAL,2.056241989135742,solver_max_violation,1.601826258687574e-06,true,false,not_applicable
cs,CS-L,L,512,262144,1386147,pdhg_cpu_tol_1e4,cpu,1e-4,true,true,completed,OPTIMAL,37.48976182937622,solver_max_violation,0.17715110637901432,false,false,not_applicable
cs,CS-L,L,512,262144,1386147,pdhg_cpu_tol_1e6,cpu,1e-6,true,true,completed,OPTIMAL,271.05794191360474,solver_max_violation,0.0014709737737348405,false,false,not_applicable
cs,CS-L,L,512,262144,1386147,pdhg_cpu_tol_1e8,cpu,1e-8,true,true,completed,OPTIMAL,521.4621081352234,solver_max_violation,1.826935840654187e-05,false,false,not_applicable
