family,instance_label,size,rows,columns,nonzeros,method,device,tolerance,planned_slot,attempted_solve,terminal_outcome,solver_status,runtime_s,quality_metric,quality_value,strict_quality_pass,gpu_confirmed,resource_outcome
cvar,CVAR-S,S,257,385,33408,dual_simplex,cpu,,true,true,completed,OPTIMAL,0.018769025802612305,solver_max_violation,8.881784197001252e-16,true,false,not_applicable
cvar,CVAR-S,S,257,385,33408,barrier,cpu,,true,true,completed,OPTIMAL,0.05701088905334473,solver_max_violation,1.9090927834698048e-10,true,false,not_applicable
cvar,CVAR-S,S,257,385,33408,pdhg_cpu_tol_1e4,cpu,1e-4,true,true,completed,OPTIMAL,0.05507397651672363,solver_max_violation,0.00012408069746339123,false,false,not_applicable
cvar,CVAR-S,S,257,385,33408,pdhg_cpu_tol_1e6,cpu,1e-6,true,true,completed,OPTIMAL,0.09026622772216797,solver_max_violation,1.6625972170114522e-06,false,false,not_applicable
cvar,CVAR-S,S,257,385,33408,pdhg_cpu_tol_1e8,cpu,1e-8,true,true,completed,OPTIMAL,0.13381505012512207,solver_max_violation,6.651719841599402e-09,true,false,not_applicable
cvar,CVAR-S,S,257,385,33408,pdhg_gpu_tol_1e4,gpu,1e-4,true,true,completed,OPTIMAL,0.14888906478881836,solver_max_violation,0.00012393393722565094,false,true,not_applicable
cvar,CVAR-S,S,257,385,33408,pdhg_gpu_tol_1e6,gpu,1e-6,true,true,completed,OPTIMAL,0.26038289070129395,solver_max_violation,1.6234095121525627e-06,false,true,not_applicable
cvar,CVAR-S,S,257,385,33408,pdhg_gpu_tol_1e8,gpu,1e-8,true,true,completed,OPTIMAL,0.35841917991638184,solver_max_violation,5.274423342527257e-09,true,true,not_applicable
cvar,CVAR-M,M,1025,1153,133248,dual_simplex,cpu,,true,true,completed,OPTIMAL,0.048356056213378906,solver_max_violation,8.881784197001252e-16,true,false,not_applicable
cvar,CVAR-M,M,1025,1153,133248,barrier,cpu,,true,true,completed,OPTIMAL,0.09608006477355957,solver_max_violation,3.5282354815535655e-10,true,false,not_applicable
cvar,CVAR-M,M,1025,1153,133248,pdhg_cpu_tol_1e4,cpu,1e-4,true,true,completed,OPTIMAL,0.2892889976501465,solver_max_violation,8.876351395259441e-05,false,false,not_applicable
cvar,CVAR-M,M,1025,1153,133248,pdhg_cpu_tol_1e6,cpu,1e-6,true,true,completed,OPTIMAL,0.4154679775238037,solver_max_violation,1.249239384604195e-06,false,false,not_applicable
cvar,CVAR-M,M,1025,1153,133248,pdhg_cpu_tol_1e8,cpu,1e-8,true,true,completed,OPTIMAL,0.5576469898223877,solver_max_violation,6.874490754427143e-09,true,false,not_applicable
cvar,CVAR-M,M,1025,1153,133248,pdhg_gpu_tol_1e4,gpu,1e-4,true,true,completed,OPTIMAL,0.21139097213745117,solver_max_violation,0.00016093664761918092,false,true,not_applicable
