family,instance_label,band,density_cell,rows,columns,nonzeros,method,device,tolerance,terminal_outcome,solver_status,runtime_s,quality_metric,quality_value,strict_quality_pass,gpu_confirmed
external,neos-4409277-trave,B1,HD,7875,14363,204518,dual_simplex,cpu,,completed,OPTIMAL,0.6701030731201172,descriptive_max_quality_score,1.504352198367087e-13,true,false
external,neos-4409277-trave,B1,HD,7875,14363,204518,barrier,cpu,,completed,OPTIMAL,0.21374988555908203,descriptive_max_quality_score,1.6399326341343112e-11,true,false
external,neos-4409277-trave,B1,HD,7875,14363,204518,pdhg_cpu_tol_1e6,cpu,1e-6,completed,OPTIMAL,0.12182807922363281,descriptive_max_quality_score,6.354844343214872e-05,false,false
external,neos-4409277-trave,B1,HD,7875,14363,204518,pdhg_cpu_tol_1e8,cpu,1e-8,completed,OPTIMAL,0.1569361686706543,descriptive_max_quality_score,2.5331084099189383e-06,false,false
external,neos-4409277-trave,B1,HD,7875,14363,204518,pdhg_gpu_tol_1e6,gpu,1e-6,completed,OPTIMAL,0.11579608917236328,descriptive_max_quality_score,6.552289429240243e-05,false,true
external,neos-4409277-trave,B1,HD,7875,14363,204518,pdhg_gpu_tol_1e8,gpu,1e-8,completed,OPTIMAL,0.1301741600036621,descriptive_max_quality_score,2.661494026279243e-06,false,true
external,neos-4763324-toguru,B1,LD,106954,53593,266805,dual_simplex,cpu,,completed,OPTIMAL,2.036916971206665,descriptive_max_quality_score,2.2737367544323206e-13,true,false
external,neos-4763324-toguru,B1,LD,106954,53593,266805,barrier,cpu,,completed,OPTIMAL,3.545377016067505,descriptive_max_quality_score,1.3508979580558476e-09,true,false
external,neos-4763324-toguru,B1,LD,106954,53593,266805,pdhg_cpu_tol_1e6,cpu,1e-6,completed,OPTIMAL,388.80176401138306,descriptive_max_quality_score,2.3106235866876546e-06,false,false
external,neos-4763324-toguru,B1,LD,106954,53593,266805,pdhg_cpu_tol_1e8,cpu,1e-8,completed,OPTIMAL,509.85674595832825,descriptive_max_quality_score,2.2524993648076475e-08,true,false
external,neos-4763324-toguru,B1,LD,106954,53593,266805,pdhg_gpu_tol_1e6,gpu,1e-6,completed,OPTIMAL,14.491058826446533,descriptive_max_quality_score,9.049960453921813e-06,false,true
external,neos-4763324-toguru,B1,LD,106954,53593,266805,pdhg_gpu_tol_1e8,gpu,1e-8,completed,OPTIMAL,18.123178958892822,descriptive_max_quality_score,6.666846275038552e-08,true,true
