family,instance_label,size,rows,columns,nonzeros,method,device,tolerance,planned_slot,attempted_solve,terminal_outcome,solver_status,runtime_s,quality_metric,quality_value,strict_quality_pass,gpu_confirmed,resource_outcome
mcf,MCF-S,S,4288,16384,48640,dual_simplex,cpu,,true,true,completed,OPTIMAL,0.04239201545715332,solver_max_violation,0.0,true,false,not_applicable
mcf,MCF-S,S,4288,16384,48640,barrier,cpu,,true,true,completed,OPTIMAL,0.15905213356018066,solver_max_violation,8.828001225681817e-09,true,false,not_applicable
mcf,MCF-S,S,4288,16384,48640,pdhg_cpu_tol_1e4,cpu,1e-4,true,true,completed,OPTIMAL,0.10862421989440918,solver_max_violation,1.5985205082131815,false,false,not_applicable
mcf,MCF-S,S,4288,16384,48640,pdhg_cpu_tol_1e6,cpu,1e-6,true,true,completed,OPTIMAL,0.2527148723602295,solver_max_violation,0.010663759326758138,false,false,not_applicable
mcf,MCF-S,S,4288,16384,48640,pdhg_cpu_tol_1e8,cpu,1e-8,true,true,completed,OPTIMAL,0.33920788764953613,solver_max_violation,6.404405017128745e-05,false,false,not_applicable
mcf,MCF-S,S,4288,16384,48640,pdhg_gpu_tol_1e4,gpu,1e-4,true,true,completed,OPTIMAL,0.09726619720458984,solver_max_violation,1.598834115833459,false,true,not_applicable
mcf,MCF-S,S,4288,16384,48640,pdhg_gpu_tol_1e6,gpu,1e-6,true,true,completed,OPTIMAL,0.18461084365844727,solver_max_violation,0.010617552359072704,false,true,not_applicable
mcf,MCF-S,S,4288,16384,48640,pdhg_gpu_tol_1e8,gpu,1e-8,true,true,completed,OPTIMAL,0.2295520305633545,solver_max_violation,6.517551696545697e-05,false,true,not_applicable
mcf,MCF-M,M,16768,65536,195584,dual_simplex,cpu,,true,true,completed,OPTIMAL,0.288654088973999,solver_max_violation,0.0,true,false,not_applicable
mcf,MCF-M,M,16768,65536,195584,barrier,cpu,,true,true,completed,OPTIMAL,0.7242641448974609,solver_max_violation,1.3786546721990007e-07,true,false,not_applicable
mcf,MCF-M,M,16768,65536,195584,pdhg_cpu_tol_1e4,cpu,1e-4,true,true,completed,OPTIMAL,4.075030088424683,solver_max_violation,1.3506117409269303,false,false,not_applicable
mcf,MCF-M,M,16768,65536,195584,pdhg_cpu_tol_1e6,cpu,1e-6,true,true,completed,OPTIMAL,12.587208032608032,solver_max_violation,0.017376945374184254,false,false,not_applicable
mcf,MCF-M,M,16768,65536,195584,pdhg_cpu_tol_1e8,cpu,1e-8,true,true,completed,OPTIMAL,18.54961395263672,solver_max_violation,0.00018237504445522715,false,false,not_applicable
mcf,MCF-M,M,16768,65536,195584,pdhg_gpu_tol_1e4,gpu,1e-4,true,true,completed,OPTIMAL,0.17678308486938477,solver_max_violation,1.3525988258870345,false,true,not_applicable
mcf,MCF-M,M,16768,65536,195584,pdhg_gpu_tol_1e6,gpu,1e-6,true,true,completed,OPTIMAL,0.44081616401672363,solver_max_violation,0.017275955451001097,false,true,not_applicable
mcf,MCF-M,M,16768,65536,195584,pdhg_gpu_tol_1e8,gpu,1e-8,true,true,completed,OPTIMAL,0.6017801761627197,solver_max_violation,0.00018519365135624628,false,true,not_applicable
mcf,MCF-L,L,66304,262144,783872,dual_simplex,cpu,,true,true,completed,OPTIMAL,8.57738184928894,solver_max_violation,1.8474111129762605e-13,true,false,not_applicable
mcf,MCF-L,L,66304,262144,783872,barrier,cpu,,true,true,completed,OPTIMAL,7.345321893692017,solver_max_violation,2.4526072743693744e-05,true,false,not_applicable
mcf,MCF-L,L,66304,262144,783872,pdhg_cpu_tol_1e4,cpu,1e-4,true,true,completed,OPTIMAL,9.359702110290527,solver_max_violation,1.8255259481787798,false,false,not_applicable
mcf,MCF-L,L,66304,262144,783872,pdhg_cpu_tol_1e6,cpu,1e-6,true,true,completed,OPTIMAL,66.190603017807,solver_max_violation,0.026088837668766993,false,false,not_applicable
