family,instance_label,size,rows,columns,nonzeros,method,device,tolerance,planned_slot,attempted_solve,terminal_outcome,solver_status,runtime_s,quality_metric,quality_value,strict_quality_pass,gpu_confirmed,resource_outcome
rob,ROB-S,S,9295,6544,77358,dual_simplex,cpu,,true,true,completed,OPTIMAL,2.4829249382019043,solver_max_violation,1.4551915228366852e-11,true,false,not_applicable
rob,ROB-S,S,9295,6544,77358,barrier,cpu,,true,true,completed,OPTIMAL,0.27072596549987793,solver_max_violation,9.227970125677272e-07,true,false,not_applicable
rob,ROB-S,S,9295,6544,77358,pdhg_cpu_tol_1e4,cpu,1e-4,true,true,completed,OPTIMAL,0.3393259048461914,solver_max_violation,0.649846929156388,false,false,not_applicable
rob,ROB-S,S,9295,6544,77358,pdhg_cpu_tol_1e6,cpu,1e-6,true,true,completed,OPTIMAL,1.5553760528564453,solver_max_violation,0.00667824467082358,false,false,not_applicable
rob,ROB-S,S,9295,6544,77358,pdhg_cpu_tol_1e8,cpu,1e-8,true,true,completed,OPTIMAL,1.6282000541687012,solver_max_violation,3.9911934697791955e-05,false,false,not_applicable
rob,ROB-S,S,9295,6544,77358,pdhg_gpu_tol_1e4,gpu,1e-4,true,true,completed,OPTIMAL,0.29731297492980957,solver_max_violation,0.19867831262308755,false,true,not_applicable
rob,ROB-S,S,9295,6544,77358,pdhg_gpu_tol_1e6,gpu,1e-6,true,true,completed,OPTIMAL,0.5365989208221436,solver_max_violation,0.006602848903932389,false,true,not_applicable
rob,ROB-S,S,9295,6544,77358,pdhg_gpu_tol_1e8,gpu,1e-8,true,true,completed,OPTIMAL,0.7072489261627197,solver_max_violation,6.584778888679067e-05,false,true,not_applicable
rob,ROB-M,M,20479,14624,223134,dual_simplex,cpu,,true,true,completed,OPTIMAL,8.76691198348999,solver_max_violation,3.637978807091713e-11,true,false,not_applicable
rob,ROB-M,M,20479,14624,223134,barrier,cpu,,true,true,completed,OPTIMAL,0.5432939529418945,solver_max_violation,1.4593472736259218e-07,true,false,not_applicable
rob,ROB-M,M,20479,14624,223134,pdhg_cpu_tol_1e4,cpu,1e-4,true,true,completed,OPTIMAL,11.57488203048706,solver_max_violation,0.5190569843637897,false,false,not_applicable
rob,ROB-M,M,20479,14624,223134,pdhg_cpu_tol_1e6,cpu,1e-6,true,true,completed,OPTIMAL,27.48115587234497,solver_max_violation,0.004707998569837771,false,false,not_applicable
rob,ROB-M,M,20479,14624,223134,pdhg_cpu_tol_1e8,cpu,1e-8,true,true,completed,OPTIMAL,38.47484016418457,solver_max_violation,3.757093223462827e-05,false,false,not_applicable
rob,ROB-M,M,20479,14624,223134,pdhg_gpu_tol_1e4,gpu,1e-4,true,true,completed,OPTIMAL,0.3642611503601074,solver_max_violation,0.5040110155832778,false,true,not_applicable
rob,ROB-M,M,20479,14624,223134,pdhg_gpu_tol_1e6,gpu,1e-6,true,true,completed,OPTIMAL,0.6077589988708496,solver_max_violation,0.026748453350592172,false,true,not_applicable
rob,ROB-M,M,20479,14624,223134,pdhg_gpu_tol_1e8,gpu,1e-8,true,true,completed,OPTIMAL,1.4734580516815186,solver_max_violation,4.855220916950036e-05,false,true,not_applicable
rob,ROB-L,L,36015,25904,483982,dual_simplex,cpu,,true,true,completed,OPTIMAL,12.445965051651001,solver_max_violation,4.3655745685100555e-11,true,false,not_applicable
rob,ROB-L,L,36015,25904,483982,barrier,cpu,,true,true,completed,OPTIMAL,2.1670138835906982,solver_max_violation,1.6697195041780834e-09,true,false,not_applicable
rob,ROB-L,L,36015,25904,483982,pdhg_cpu_tol_1e4,cpu,1e-4,true,true,completed,OPTIMAL,9.168256044387817,solver_max_violation,0.32220373028030735,false,false,not_applicable
rob,ROB-L,L,36015,25904,483982,pdhg_cpu_tol_1e6,cpu,1e-6,true,true,completed,OPTIMAL,28.091161012649536,solver_max_violation,0.0016827955684846074,false,false,not_applicable
rob,ROB-L,L,36015,25904,483982,pdhg_cpu_tol_1e8,cpu,1e-8,true,true,completed,OPTIMAL,33.76338577270508,solver_max_violation,3.6240790492885775e-05,false,false,not_applicable
rob,ROB-L,L,36015,25904,483982,pdhg_gpu_tol_1e4,gpu,1e-4,true,true,completed,OPTIMAL,0.38259410858154297,solver_max_violation,0.44780398034708924,false,true,not_applicable
rob,ROB-L,L,36015,25904,483982,pdhg_gpu_tol_1e6,gpu,1e-6,true,true,completed,OPTIMAL,1.3013148307800293,solver_max_violation,0.003419029907344479,false,true,not_applicable
rob,ROB-L,L,36015,25904,483982,pdhg_gpu_tol_1e8,gpu,1e-8,true,true,completed,OPTIMAL,1.4639561176300049,solver_max_violation,1.2498215100957008e-05,false,true,not_applicable
rob,ROB-XL,XL,80143,58064,1481966,dual_simplex,cpu,,true,true,completed,OPTIMAL,691.2603318691254,solver_max_violation,1.4551915228366852e-10,true,false,not_applicable
rob,ROB-XL,XL,80143,58064,1481966,barrier,cpu,,true,true,completed,OPTIMAL,4.520663022994995,solver_max_violation,4.141708381092478e-08,true,false,not_applicable
rob,ROB-XL,XL,80143,58064,1481966,pdhg_cpu_tol_1e4,cpu,1e-4,true,true,completed,OPTIMAL,11.939640045166016,solver_max_violation,0.43916024857753655,false,false,not_applicable
rob,ROB-XL,XL,80143,58064,1481966,pdhg_cpu_tol_1e6,cpu,1e-6,true,true,completed,OPTIMAL,41.36504411697388,solver_max_violation,0.008562097020330839,false,false,not_applicable
rob,ROB-XL,XL,80143,58064,1481966,pdhg_cpu_tol_1e8,cpu,1e-8,true,true,completed,OPTIMAL,70.08597111701965,solver_max_violation,0.00015958208678057417,false,false,not_applicable
rob,ROB-XL,XL,80143,58064,1481966,pdhg_gpu_tol_1e4,gpu,1e-4,true,true,completed,OPTIMAL,1.2264878749847412,solver_max_violation,0.43868843283416936,false,true,not_applicable
rob,ROB-XL,XL,80143,58064,1481966,pdhg_gpu_tol_1e6,gpu,1e-6,true,true,completed,OPTIMAL,3.3871090412139893,solver_max_violation,0.008464563259622082,false,true,not_applicable
rob,ROB-XL,XL,80143,58064,1481966,pdhg_gpu_tol_1e8,gpu,1e-8,true,true,completed,OPTIMAL,6.276108980178833,solver_max_violation,0.00015399001131299883,false,true,not_applicable
rob,ROB-XXL,XXL,141679,103024,3333454,dual_simplex,cpu,,true,true,timeout,TIME_LIMIT,1200.002954006195,,,false,false,not_applicable
rob,ROB-XXL,XXL,141679,103024,3333454,barrier,cpu,,true,true,completed,OPTIMAL,12.456577062606812,solver_max_violation,2.5324244397084214e-06,false,false,not_applicable
rob,ROB-XXL,XXL,141679,103024,3333454,pdhg_cpu_tol_1e4,cpu,1e-4,true,true,completed,OPTIMAL,21.478429079055786,solver_max_violation,0.4860567571680667,false,false,not_applicable
rob,ROB-XXL,XXL,141679,103024,3333454,pdhg_cpu_tol_1e6,cpu,1e-6,true,true,completed,OPTIMAL,60.50701689720154,solver_max_violation,0.00797730193244206,false,false,not_applicable
rob,ROB-XXL,XXL,141679,103024,3333454,pdhg_cpu_tol_1e8,cpu,1e-8,true,true,completed,OPTIMAL,120.7185411453247,solver_max_violation,4.396348570053077e-05,false,false,not_applicable
rob,ROB-XXL,XXL,141679,103024,3333454,pdhg_gpu_tol_1e4,gpu,1e-4,true,true,completed,OPTIMAL,3.8777658939361572,solver_max_violation,0.5234087560382343,false,true,not_applicable
rob,ROB-XXL,XXL,141679,103024,3333454,pdhg_gpu_tol_1e6,gpu,1e-6,true,true,completed,OPTIMAL,8.671950101852417,solver_max_violation,0.00458650591234186,false,true,not_applicable
rob,ROB-XXL,XXL,141679,103024,3333454,pdhg_gpu_tol_1e8,gpu,1e-8,true,true,completed,OPTIMAL,12.758762121200562,solver_max_violation,3.9938101881991975e-05,false,true,not_applicable
rob,ROB-XXXL,XXXL,316975,231344,10645518,dual_simplex,cpu,,true,true,timeout,TIME_LIMIT,1200.0011911392212,,,false,false,not_applicable
rob,ROB-XXXL,XXXL,316975,231344,10645518,barrier,cpu,,true,true,completed,OPTIMAL,55.00850796699524,solver_max_violation,9.197070441533925e-06,true,false,not_applicable
rob,ROB-XXXL,XXXL,316975,231344,10645518,pdhg_cpu_tol_1e4,cpu,1e-4,true,true,completed,OPTIMAL,66.32887196540833,solver_max_violation,0.521362257131841,false,false,not_applicable
rob,ROB-XXXL,XXXL,316975,231344,10645518,pdhg_cpu_tol_1e6,cpu,1e-6,true,true,completed,OPTIMAL,521.8781051635742,solver_max_violation,0.0005806771628337846,false,false,not_applicable
rob,ROB-XXXL,XXXL,316975,231344,10645518,pdhg_cpu_tol_1e8,cpu,1e-8,true,true,completed,OPTIMAL,610.34903216362,solver_max_violation,1.689328649334484e-05,false,false,not_applicable
rob,ROB-XXXL,XXXL,316975,231344,10645518,pdhg_gpu_tol_1e4,gpu,1e-4,true,true,completed,OPTIMAL,12.602575063705444,solver_max_violation,0.49906626739057475,false,true,not_applicable
rob,ROB-XXXL,XXXL,316975,231344,10645518,pdhg_gpu_tol_1e6,gpu,1e-6,true,true,completed,OPTIMAL,73.38919591903687,solver_max_violation,0.005339987623272522,false,true,not_applicable
rob,ROB-XXXL,XXXL,316975,231344,10645518,pdhg_gpu_tol_1e8,gpu,1e-8,true,true,completed,OPTIMAL,84.79694819450378,solver_max_violation,2.3267922809539235e-05,false,true,not_applicable
